Parent Path,Name,Href,URL,Is External,ms.author,ms.topic,description,pivot,pivot_groups,hub-only,file_found,has_tabs,tab_count,tab_formats,has_images,image_count,image_formats,portal_steps
Models > Develop with AI models,Supported programming languages and SDKs,ai-services/openai/supported-languages.md?context=/azure/ai-foundry/context/context,https://learn.microsoft.com/azure/ai-foundry/ai-services/openai/supported-languages.md?context=/azure/ai-foundry/context/context,False,,,,,,False,False,False,0,,False,0,,False
Models > Develop with AI models,Azure AI Inference SDK,ai-foundry/foundry-models/supported-languages.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/foundry-models/supported-languages.md,False,mopeakande,concept-article,Learn about supported programming languages for models in Azure AI Foundry Models,,,False,True,False,0,,False,0,,False
Models > Develop with AI models > Work with chat models,Work with chat completion models,ai-foundry/foundry-models/how-to/use-chat-completions.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/foundry-models/how-to/use-chat-completions.md,False,mopeakande,how-to,Learn how to generate chat completions with Azure AI Foundry Models,azure-ai-inference-samples,"programming-language-python, programming-language-javascript, programming-language-java, programming-language-csharp, programming-language-rest",False,True,False,0,,False,0,,False
Models > Develop with AI models > Work with chat models,Work with reasoning models,ai-foundry/foundry-models/how-to/use-chat-reasoning.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/foundry-models/how-to/use-chat-reasoning.md,False,mopeakande,how-to,Learn how to use reasoning capabilities from models with Azure AI Foundry Models,azure-ai-inference-samples,"programming-language-python, programming-language-javascript, programming-language-java, programming-language-csharp, programming-language-rest",False,True,False,0,,False,0,,False
Models > Develop with AI models > Work with chat models,Work with multimodal models,ai-foundry/foundry-models/how-to/use-chat-multi-modal.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/foundry-models/how-to/use-chat-multi-modal.md,False,mopeakande,how-to,Learn how to process audio and images with chat completions models with Azure AI Foundry Models,azure-ai-inference-samples,"programming-language-python, programming-language-javascript, programming-language-java, programming-language-csharp, programming-language-rest",False,True,False,0,,False,0,,False
Models > Develop with AI models > Work with chat models,Use structured outputs,ai-foundry/foundry-models/how-to/use-structured-outputs.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/foundry-models/how-to/use-structured-outputs.md,False,mopeakande,how-to,Learn how to use structure outputs with chat completions with Azure AI Foundry Models,azure-ai-inference-samples,"programming-language-python, programming-language-javascript, programming-language-java, programming-language-csharp, programming-language-rest",False,True,False,0,,False,0,,False
Models > Develop with AI models > Work with embedding models,Work with text embeddings,ai-foundry/foundry-models/how-to/use-embeddings.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/foundry-models/how-to/use-embeddings.md,False,mopeakande,how-to,Learn how to generate embeddings with Azure AI Foundry Models,azure-ai-inference-samples,"programming-language-python, programming-language-javascript, programming-language-java, programming-language-csharp, programming-language-rest",False,True,False,0,,False,0,,False
Models > Develop with AI models > Work with embedding models,Work with image embeddings,ai-foundry/foundry-models/how-to/use-image-embeddings.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/foundry-models/how-to/use-image-embeddings.md,False,mopeakande,how-to,Learn how to generate image embeddings with Azure AI Foundry Models,azure-ai-inference-samples,"programming-language-python, programming-language-javascript, programming-language-java, programming-language-csharp, programming-language-rest",False,True,False,0,,False,0,,False
Models > Develop with AI models,Work with image models,ai-foundry/how-to/use-image-models.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/how-to/use-image-models.md,False,mopeakande,how-to,Learn how to use image-to-text models from the AI Foundry model catalog.,,,False,True,False,0,,False,0,,True
Models > Develop with AI models,Develop with LangChain and LangGraph,ai-foundry/how-to/develop/langchain.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/how-to/develop/langchain.md,False,sgilley,how-to,This article explains how to use LangChain with models deployed in Azure AI Foundry portal to build advance intelligent applications.,,,False,True,False,0,,True,1,"content, .png",True
