Parent Path,Name,Href,OtherTOC,URL
Models > Azure OpenAI in Foundry Models > Concepts,Customizing Large Language Models (LLMs),./openai/concepts/customizing-llms.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/customizing-llms
Models > Azure OpenAI in Foundry Models > Concepts,Embeddings,./openai/concepts/understand-embeddings.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/understand-embeddings
Models > Azure OpenAI in Foundry Models > Concepts,Fine-tuning,./openai/concepts/fine-tuning-considerations.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/fine-tuning-considerations
Models > Azure OpenAI in Foundry Models > Concepts,Vision-enabled models,./openai/concepts/gpt-with-vision.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/gpt-with-vision
Models > Azure OpenAI in Foundry Models > Concepts,Video generation (preview),./openai/concepts/video-generation.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/video-generation
Models > Azure OpenAI in Foundry Models > Concepts,Red teaming large language models (LLMs),./openai/concepts/red-teaming.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/red-teaming
Models > Azure OpenAI in Foundry Models > Concepts,Content credentials,./openai/concepts/content-credentials.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/content-credentials
Models > Azure OpenAI in Foundry Models > Concepts > Prompt engineering,Prompt engineering techniques,./openai/concepts/prompt-engineering.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/prompt-engineering
Models > Azure OpenAI in Foundry Models > Concepts > Prompt engineering,Image prompt engineering techniques,./openai/concepts/gpt-4-v-prompt-engineering.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/gpt-4-v-prompt-engineering
Models > Azure OpenAI in Foundry Models > Concepts > System messages,System message design,./openai/concepts/advanced-prompt-engineering.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/advanced-prompt-engineering
Models > Azure OpenAI in Foundry Models > Concepts > System messages,Safety system messages,./openai/concepts/system-message.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/system-message
Models > Azure OpenAI in Foundry Models > Concepts > System messages,Safety system message templates,./openai/concepts/safety-system-message-templates.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/safety-system-message-templates
